Município,Micro Região,Macro Região
ABAETETUBA,TOCANTINS,MACRO I
ABEL FIGUEIREDO,CARAJÁS,MACRO IV
ACARA,METROPOLITANA II,MACRO II
AFUA,MARAJÓ I,MACRO I
AGUA AZUL DO NORTE,ARAGUAIA,MACRO IV
ALENQUER,BAIXO AMAZONAS,MACRO III
ALMEIRIM,BAIXO AMAZONAS,MACRO III
ALTAMIRA,XINGU,MACRO III
ANAJAS,MARAJÓ II,MACRO I
ANANINDEUA,METROPOLITANA I,MACRO I
ANAPU,XINGU,MACRO III
AUGUSTO CORREA,RIO CAETÉS,MACRO II
AURORA DO PARA,METROPOLITANA III,MACRO II
AVEIRO,TAPAJÓS,MACRO III
BAGRE,MARAJÓ II,MACRO I
BAIAO,TOCANTINS,MACRO I
BANNACH,ARAGUAIA,MACRO IV
BARCARENA,TOCANTINS,MACRO I
BELEM,METROPOLITANA I,MACRO I
BELTERRA,BAIXO AMAZONAS,MACRO III
BENEVIDES,METROPOLITANA I,MACRO I
BOM JESUS DO TOCANTINS,CARAJÁS,MACRO IV
BONITO,RIO CAETÉS,MACRO II
BRAGANCA,RIO CAETÉS,MACRO II
BRASIL NOVO,XINGU,MACRO III
BREJO GRANDE DO ARAGUAIA,CARAJÁS,MACRO IV
BREU BRANCO,LAGO TUCURUÍ,MACRO IV
BREVES,MARAJÓ II,MACRO I
BUJARU,METROPOLITANA II,MACRO II
CACHOEIRA DO PIRIA,RIO CAETÉS,MACRO II
CACHOEIRA DO ARARI,MARAJÓ I,MACRO I
CAMETA,TOCANTINS,MACRO I
CANAA DOS CARAJAS,CARAJÁS,MACRO IV
CAPANEMA,RIO CAETÉS,MACRO II
CAPITAO POCO,METROPOLITANA III,MACRO II
CASTANHAL,METROPOLITANA III,MACRO II
CHAVES,MARAJÓ I,MACRO I
COLARES,METROPOLITANA II,MACRO II
CONCEICAO DO ARAGUAIA,ARAGUAIA,MACRO IV
CONCORDIA DO PARA,METROPOLITANA II,MACRO II
CUMARU DO NORTE,ARAGUAIA,MACRO IV
CURIONOPOLIS,CARAJÁS,MACRO IV
CURRALINHO,MARAJÓ II,MACRO I
CURUA,BAIXO AMAZONAS,MACRO III
CURUCA,METROPOLITANA III,MACRO II
DOM ELISEU,CARAJÁS,MACRO IV
ELDORADO DOS CARAJAS,CARAJÁS,MACRO IV
FARO,BAIXO AMAZONAS,MACRO III
FLORESTA DO ARAGUAIA,ARAGUAIA,MACRO IV
GARRAFAO DO NORTE,METROPOLITANA III,MACRO II
GOIANESIA DO PARA,LAGO TUCURUÍ,MACRO IV
GURUPA,MARAJÓ II,MACRO I
IGARAPE-ACU,METROPOLITANA III,MACRO II
IGARAPE-MIRI,TOCANTINS,MACRO I
INHANGAPI,METROPOLITANA III,MACRO II
IPIXUNA DO PARA,METROPOLITANA III,MACRO II
IRITUIA,METROPOLITANA III,MACRO II
ITAITUBA,TAPAJÓS,MACRO III
ITUPIRANGA,CARAJÁS,MACRO IV
JACAREACANGA,TAPAJÓS,MACRO III
JACUNDA,LAGO TUCURUÍ,MACRO IV
JURUTI,BAIXO AMAZONAS,MACRO III
LIMOEIRO DO AJURU,TOCANTINS,MACRO I
MAE DO RIO,METROPOLITANA III,MACRO II
MAGALHAES BARATA,METROPOLITANA III,MACRO II
MARABA,CARAJÁS,MACRO IV
MARACANA,METROPOLITANA III,MACRO II
MARAPANIM,METROPOLITANA III,MACRO II
MARITUBA,METROPOLITANA I,MACRO I
MEDICILANDIA,XINGU,MACRO III
MELGACO,MARAJÓ II,MACRO I
MOCAJUBA,TOCANTINS,MACRO I
MOJU,TOCANTINS,MACRO I
MOJUI DOS CAMPOS,BAIXO AMAZONAS,MACRO III
MONTE ALEGRE,BAIXO AMAZONAS,MACRO III
MUANA,MARAJÓ I,MACRO I
NOVA ESPERANCA DO PIRIA,METROPOLITANA III,MACRO II
NOVA IPIXUNA,CARAJÁS,MACRO IV
NOVA TIMBOTEUA,RIO CAETÉS,MACRO II
NOVO PROGRESSO,TAPAJÓS,MACRO III
NOVO REPARTIMENTO,LAGO TUCURUÍ,MACRO IV
OBIDOS,BAIXO AMAZONAS,MACRO III
OEIRAS DO PARA,TOCANTINS,MACRO I
ORIXIMINA,BAIXO AMAZONAS,MACRO III
