Municípios,Código municipal,UF,domicílios
Abadia de Goiás,5200050,GO,7866
Abadia dos Dourados,3100104,MG,3477
Abadiânia,5200100,GO,10303
Abaeté,3100203,MG,12156
Abaetetuba,1500107,PA,51416
Abaiara,2300101,CE,4358
Abaíra,2900108,BA,4290
Abaré,2900207,BA,7243
Abatiá,4100103,PR,3372
Abdon Batista,4200051,SC,1335
Abel Figueiredo,1500131,PA,2583
Abelardo Luz,4200101,SC,7189
Abre Campo,3100302,MG,6566
Abreu e Lima,2600054,PE,41660
Abreulândia,1700251,TO,1302
Acaiaca,3100401,MG,2056
Açailândia,2100055,MA,44370
Acajutiba,2900306,BA,6405
Acará,1500206,PA,21771
Acarape,2300150,CE,5447
Acaraú,2300200,CE,26163
Acari,2400109,RN,4750
Acauã,2200053,PI,3098
Aceguá,4300034,RS,2125
Acopiara,2300309,CE,22529
Acorizal,5100102,MT,3097
Acrelândia,1200013,AC,5708
Acreúna,5200134,GO,9355
Açucena,3100500,MG,4536
Adamantina,3500105,SP,15966
Adelândia,5200159,GO,1250
Adolfo,3500204,SP,2469
Adrianópolis,4100202,PR,3275
Adustina,2900355,BA,6997
Afogados da Ingazeira,2600104,PE,20057
Afonso Bezerra,2400307,RN,4339
Afonso Cláudio,3200102,ES,14358
Afonso Cunha,2100105,MA,2106
Afrânio,2600203,PE,8392
Afuá,1500305,PA,11041
Agrestina,2600302,PE,11504
Agricolândia,2200103,PI,2286
Agrolândia,4200200,SC,4449
Agronômica,4200309,SC,2598
Água Azul do Norte,1500347,PA,6694
Água Boa,3100609,MG,6501
Água Boa,5100201,MT,12037
Água Branca,2200202,PI,7530
Água Branca,2500106,PB,4434
Água Branca,2700102,AL,8244
Água Clara,5000203,MS,7335
Água Comprida,3100708,MG,1469
Água Doce,4200408,SC,3113
Água Doce do Maranhão,2100154,MA,4311
Água Doce do Norte,3200169,ES,6168
Água Fria,2900405,BA,8042
Água Fria de Goiás,5200175,GO,2808
Água Limpa,5200209,GO,1182
Água Nova,2400406,RN,1199
Água Preta,2600401,PE,11871
Água Santa,4300059,RS,1596
Aguaí,3500303,SP,13586
Aguanil,3100807,MG,2812
