"Região","UF","IBGE","Município","População*","Domicílios com a TRIA aplicada","Domicílios em risco de insegurança alimentar","% Domicílios em risco de insegurança alimentar","Pessoas em domicílios em risco de insegurança alimentar","Domicílios em risco de insegurança alimentar com pessoas com deficiência","% de domicílios em risco de insegurança alimentar com pessoas com deficiência","Domicílios em risco de insegurança alimentar com pessoas em situação de rua","% de domicílios em risco de insegurança alimentar com pessoas em situação de rua","Domicílios em risco de insegurança alimentar com pessoas de povo ou comunidade tradicional","% de domicílios em risco de insegurança alimentar com pessoas de povo ou comunidade tradicional","Domicílios em risco de insegurança alimentar com pessoas menores de 18 anos","% de domicílios em risco de insegurança alimentar com pessoas menores de 18 anos","Domicílios em risco de insegurança alimentar com RF respondente do sexo feminino","% de domicílios em risco de insegurança alimentar com RF respondente do sexo feminino","Domicílios em risco de insegurança alimentar com RF respondente do sexo masculino","% de domicílios em risco de insegurança alimentar com RF respondente do sexo masculino","Domicílios em risco de insegurança alimentar com RF respondente autodeclarado pardo","% de domicílios com RF respondente autodeclarado pardo","Domicílios em risco de insegurança alimentar com RF respondente autodeclarado branco","% de domicílios com RF respondente autodeclarado branco","Domicílios em risco de insegurança alimentar com RF respondente autodeclarado amarelo","% de domicílios com RF respondente autodeclarado amarelo","Domicílios em risco de insegurança alimentar com RF respondente autodeclarado preto","% de domicílios com RF respondente autodeclarado preto","Domicílios em risco de insegurança alimentar com RF respondente autodeclarado indígena","% de domicílios com RF respondente autodeclarado indígena","Competência"
"NORTE","AC","120001","ACRELANDIA","14712","3538","278","7.9","968","44","15.8","0","0","2","0.7","173","62.2","172","74.8","58","25.2","182","79.1","25","10.9","11","4.8","12","5.2","0","0","nov/2023 a abr/2026"
"NORTE","AC","120005","ASSIS BRASIL","8648","2528","293","11.6","1255","81","27.6","0","0","3","1","220","75.1","128","54.2","108","45.8","170","72","23","9.7","2","0.8","9","3.8","32","13.6","nov/2023 a abr/2026"
"NORTE","AC","120010","BRASILEIA","28028","7453","943","12.7","3332","90","9.5","0","0","116","12.3","575","61","522","65.7","273","34.3","612","77","137","17.2","13","1.6","19","2.4","15","1.9","nov/2023 a abr/2026"
"NORTE","AC","120013","BUJARI","13928","2721","400","14.7","1222","63","15.8","0","0","2","0.5","220","55","193","55.5","155","44.5","266","76.4","34","9.8","5","1.4","43","12.4","0","0","nov/2023 a abr/2026"
"NORTE","AC","120017","CAPIXABA","10981","3558","235","6.6","827","38","16.2","0","0","2","0.9","157","66.8","143","68.8","65","31.2","172","82.7","19","9.1","3","1.4","14","6.7","0","0","nov/2023 a abr/2026"
"NORTE","AC","120020","CRUZEIRO DO SUL","98916","20852","2773","13.3","11173","357","12.9","4","0.1","133","4.8","1970","71","1831","77.1","543","22.9","2073","87.3","190","8","19","0.8","91","3.8","1","0","nov/2023 a abr/2026"
"NORTE","AC","120025","EPITACIOLANDIA","19874","5765","404","7","1286","43","10.6","0","0","3","0.7","235","58.2","227","64.7","124","35.3","332","94.6","16","4.6","0","0","4","1.1","0","0","nov/2023 a abr/2026"
"NORTE","AC","120030","FEIJO","37764","5140","1017","19.8","3763","179","17.6","0","0","11","1.1","661","65","697","76.8","210","23.2","659","72.7","140","15.4","9","1","75","8.3","24","2.6","nov/2023 a abr/2026"
"NORTE","AC","120032","JORDAO","9884","876","280","32","1381","25","8.9","0","0","46","16.4","226","80.7","96","42.7","129","57.3","189","84","3","1.3","3","1.3","3","1.3","27","12","nov/2023 a abr/2026"
"NORTE","AC","120033","MANCIO LIMA","20479","3271","668","20.4","2481","101","15.1","0","0","6","0.9","430","64.4","348","59.1","241","40.9","509","86.4","41","7","17","2.9","14","2.4","8","1.4","nov/2023 a abr/2026"
"NORTE","AC","120034","MANOEL URBANO","12923","2155","255","11.8","1094","66","25.9","0","0","6","2.4","176","69","179","77.2","53","22.8","198","85.3","15","6.5","5","2.2","3","1.3","11","4.7","nov/2023 a abr/2026"
"NORTE","AC","120035","MARECHAL THAUMATURGO","18057","3592","851","23.7","3410","87","10.2","0","0","42","4.9","659","77.4","454","62.4","274","37.6","587","80.6","88","12.1","7","1","28","3.8","18","2.5","nov/2023 a abr/2026"
"NORTE","AC","120038","PLACIDO DE CASTRO","17107","5072","612","12.1","2308","89","14.5","0","0","10","1.6","412","67.3","374","76.3","116","23.7","407","83.1","50","10.2","2","0.4","31","6.3","0","0","nov/2023 a abr/2026"
"NORTE","AC","120080","PORTO ACRE","17523","4268","900","21.1","3463","167","18.6","0","0","18","2","640","71.1","460","60.4","301","39.6","656","86.2","71","9.3","8","1.1","23","3","3","0.4","nov/2023 a abr/2026"
"NORTE","AC","120039","PORTO WALTER","11333","1786","321","18","1376","40","12.5","1","0.3","8","2.5","239","74.5","161","62.2","98","37.8","209","80.7","39","15.1","1","0.4","7","2.7","3","1.2","nov/2023 a abr/2026"
"NORTE","AC","120040","RIO BRANCO","389001","61328","4981","8.1","16833","1002","20.1","8","0.2","102","2","3041","61.1","2014","71.7","796","28.3","2078","74","286","10.2","292","10.4","132","4.7","21","0.7","nov/2023 a abr/2026"
"NORTE","AC","120042","RODRIGUES ALVES","15560","1615","97","6","393","11","11.3","0","0","2","2.1","76","78.4","57","72.2","22","27.8","58","73.4","14","17.7","1","1.3","6","7.6","0","0","nov/2023 a abr/2026"
"NORTE","AC","120043","SANTA ROSA DO PURUS","7217","398","61","15.3","395","7","11.5","0","0","35","57.4","55","90.2","31","62","19","38","24","48","2","4","0","0","0","0","24","48","nov/2023 a abr/2026"
"NORTE","AC","120050","SENA MADUREIRA","44049","5584","208","3.7","713","25","12","0","0","3","1.4","150","72.1","110","60.8","71","39.2","161","89","11","6.1","2","1.1","5","2.8","2","1.1","nov/2023 a abr/2026"
"NORTE","AC","120045","SENADOR GUIOMARD","22402","4874","161","3.3","566","25","15.5","1","0.6","4","2.5","108","67.1","86","61.4","54","38.6","109","77.9","15","10.7","2","1.4","13","9.3","1","0.7","nov/2023 a abr/2026"
"NORTE","AC","120060","TARAUACA","46816","8142","3367","41.4","13544","565","16.8","2","0.1","34","1","2485","73.8","2000","67.1","982","32.9","2486","83.4","274","9.2","48","1.6","141","4.7","33","1.1","nov/2023 a abr/2026"
"NORTE","AC","120070","XAPURI","19170","3642","269","7.4","971","53","19.7","0","0","101","37.5","178","66.2","144","62.6","86","37.4","187","81.3","23","10","6","2.6","14","6.1","0","0","nov/2023 a abr/2026"
"NORDESTE","AL","270010","AGUA BRANCA","19550","3983","155","3.9","481","22","14.2","1","0.6","91","58.7","61","39.4","47","33.8","92","66.2","135","97.1","3","2.2","0","0","1","0.7","0","0","nov/2023 a abr/2026"
"NORDESTE","AL","270020","ANADIA","14167","4805","256","5.3","861","48","18.8","0","0","2","0.8","144","56.2","134","54.3","113","45.7","172","69.6","48","19.4","3","1.2","24","9.7","0","0","nov/2023 a abr/2026"
"NORDESTE","AL","270030","ARAPIRACA","243906","44270","2164","4.9","7130","358","16.5","114","5.3","19","0.9","1118","51.7","1494","75.7","480","24.3","1503","76.1","315","16","32","1.6","124","6.3","0","0","nov/2023 a abr/2026"
"NORDESTE","AL","270040","ATALAIA","38480","11824","674","5.7","2349","96","14.2","0","0","2","0.3","403","59.8","358","61.4","225","38.6","405","69.5","99","17","3","0.5","76","13","0","0","nov/2023 a abr/2026"
"NORDESTE","AL","270050","BARRA DE SANTO ANTONIO","16756","3047","303","9.9","1168","77","25.4","1","0.3","1","0.3","180","59.4","211","77","63","23","218","79.6","21","7.7","6","2.2","29","10.6","0","0","nov/2023 a abr/2026"
"NORDESTE","AL","270060","BARRA DE SAO MIGUEL","8123","2836","454","16","1626","45","9.9","0","0","0","0","263","57.9","267","76.1","84","23.9","302","86","37","10.5","1","0.3","11","3.1","0","0","nov/2023 a abr/2026"
"NORDESTE","AL","270070","BATALHA","17103","5238","229","4.4","795","38","16.6","1","0.4","5","2.2","138","60.3","169","84.1","32","15.9","146","72.6","29","14.4","0","0","26","12.9","0","0","nov/2023 a abr/2026"
"NORDESTE","AL","270080","BELEM","4819","2016","357","17.7","1059","50","14","0","0","3","0.8","168","47.1","205","61.6","128","38.4","196","58.9","121","36.3","1","0.3","15","4.5","0","0","nov/2023 a abr/2026"
"NORDESTE","AL","270090","BELO MONTE","5895","2223","75","3.4","272","13","17.3","0","0","0","0","43","57.3","33","51.6","31","48.4","57","89.1","4","6.2","0","0","3","4.7","0","0","nov/2023 a abr/2026"
"NORDESTE","AL","270100","BOCA DA MATA","21479","6719","385","5.7","1359","46","11.9","0","0","0","0","222","57.7","245","77.3","72","22.7","267","84.2","24","7.6","0","0","26","8.2","0","0","nov/2023 a abr/2026"
"NORDESTE","AL","270110","BRANQUINHA","9779","2958","177","6","606","20","11.3","0","0","1","0.6","96","54.2","93","56","73","44","119","71.7","26","15.7","5","3","16","9.6","0","0","nov/2023 a abr/2026"
"NORDESTE","AL","270120","CACIMBINHAS","10705","2202","304","13.8","1013","37","12.2","0","0","6","2","159","52.3","144","53.9","123","46.1","219","82","26","9.7","1","0.4","21","7.9","0","0","nov/2023 a abr/2026"
"NORDESTE","AL","270130","CAJUEIRO","16572","4825","224","4.6","805","31","13.8","0","0","0","0","128","57.1","94","49.7","95","50.3","153","81","25","13.2","0","0","11","5.8","0","0","nov/2023 a abr/2026"
"NORDESTE","AL","270135","CAMPESTRE","6808","1784","17","1","56","4","23.5","0","0","0","0","9","52.9","9","69.2","4","30.8","12","92.3","0","0","0","0","1","7.7","0","0","nov/2023 a abr/2026"
"NORDESTE","AL","270140","CAMPO ALEGRE","32558","10715","683","6.4","2546","65","9.5","2","0.3","7","1","421","61.6","493","82.9","102","17.1","495","83.2","55","9.2","3","0.5","42","7.1","0","0","nov/2023 a abr/2026"
"NORDESTE","AL","270150","CAMPO GRANDE","8285","2900","27","0.9","111","4","14.8","0","0","0","0","17","63","4","18.2","18","81.8","19","86.4","2","9.1","0","0","1","4.5","0","0","nov/2023 a abr/2026"
"NORDESTE","AL","270160","CANAPI","15730","5169","274","5.3","912","42","15.3","0","0","1","0.4","173","63.1","172","71.1","70","28.9","206","85.1","22","9.1","7","2.9","7","2.9","0","0","nov/2023 a abr/2026"
"NORDESTE","AL","270170","CAPELA","15051","4509","728","16.1","2580","64","8.8","1","0.1","6","0.8","482","66.2","497","71.7","196","28.3","599","86.4","44","6.3","21","3","29","4.2","0","0","nov/2023 a abr/2026"
"NORDESTE","AL","270180","CARNEIROS","9206","1976","198","10","790","28","14.1","0","0","21","10.6","134","67.7","129","75.9","41","24.1","150","88.2","16","9.4","1","0.6","3","1.8","0","0","nov/2023 a abr/2026"
"NORDESTE","AL","270190","CHA PRETA","6000","1692","121","7.2","396","8","6.6","0","0","0","0","78","64.5","76","66.1","39","33.9","58","50.4","24","20.9","0","0","33","28.7","0","0","nov/2023 a abr/2026"
"NORDESTE","AL","270200","COITE DO NOIA","11036","759","2","0.3","7","0","0","0","0","0","0","1","50","1","100","0","0","1","100","0","0","0","0","0","0","0","0","nov/2023 a abr/2026"
"NORDESTE","AL","270210","COLONIA LEOPOLDINA","15915","4776","154","3.2","608","18","11.7","0","0","0","0","93","60.4","86","66.2","44","33.8","100","76.9","26","20","0","0","5","3.8","0","0","nov/2023 a abr/2026"
"NORDESTE","AL","270220","COQUEIRO SECO","5701","2077","188","9.1","650","25","13.3","1","0.5","6","3.2","94","50","81","50.9","78","49.1","113","71.1","21","13.2","6","3.8","19","11.9","0","0","nov/2023 a abr/2026"
"NORDESTE","AL","270230","CORURIPE","51784","14743","355","2.4","1224","41","11.5","2","0.6","3","0.8","208","58.6","203","67.4","98","32.6","247","82.1","23","7.6","1","0.3","30","10","0","0","nov/2023 a abr/2026"
"NORDESTE","AL","270235","CRAIBAS","26144","9249","939","10.2","3194","77","8.2","0","0","8","0.9","533","56.8","686","82.4","147","17.6","736","88.4","55","6.6","2","0.2","40","4.8","0","0","nov/2023 a abr/2026"
"NORDESTE","AL","270240","DELMIRO GOUVEIA","52845","10467","603","5.8","2052","110","18.2","0","0","14","2.3","363","60.2","400","77.2","118","22.8","385","74.3","86","16.6","3","0.6","43","8.3","1","0.2","nov/2023 a abr/2026"
"NORDESTE","AL","270250","DOIS RIACHOS","9898","3503","265","7.6","861","61","23","0","0","13","4.9","161","60.8","187","77.9","53","22.1","232","96.7","2","0.8","0","0","6","2.5","0","0","nov/2023 a abr/2026"
