Região,UF,IBGE,Município,Macro Região,Micro Região,População*,Total domicílios*,Domicílios com a TRIA aplicada,Domicílios em risco de insegurança alimentar,% Domicílios em risco de insegurança alimentar,Pessoas em domicílios em risco de insegurança alimentar,Domicílios em risco de insegurança alimentar com pessoas com deficiência,% de domicílios em risco de insegurança alimentar com pessoas com deficiência,Domicílios em risco de insegurança alimentar com pessoas em situação de rua,% de domicílios em risco de insegurança alimentar com pessoas em situação de rua,Domicílios em risco de insegurança alimentar com pessoas de povo ou comunidade tradicional,% de domicílios em risco de insegurança alimentar com pessoas de povo ou comunidade tradicional,Domicílios em risco de insegurança alimentar com pessoas menores de 18 anos,% de domicílios em risco de insegurança alimentar com pessoas menores de 18 anos,Domicílios em risco de insegurança alimentar com RF respondente do sexo feminino,% de domicílios em risco de insegurança alimentar com RF respondente do sexo feminino,Domicílios em risco de insegurança alimentar com RF respondente do sexo masculino,% de domicílios em risco de insegurança alimentar com RF respondente do sexo masculino,Domicílios em risco de insegurança alimentar com RF respondente autodeclarado pardo,% de domicílios com RF respondente autodeclarado pardo,Domicílios em risco de insegurança alimentar com RF respondente autodeclarado branco,% de domicílios com RF respondente autodeclarado branco,Domicílios em risco de insegurança alimentar com RF respondente autodeclarado amarelo,% de domicílios com RF respondente autodeclarado amarelo,Domicílios em risco de insegurança alimentar com RF respondente autodeclarado preto,% de domicílios com RF respondente autodeclarado preto,Domicílios em risco de insegurança alimentar com RF respondente autodeclarado indígena,% de domicílios com RF respondente autodeclarado indígena,Competência
NORTE,PA,150010,ABAETETUBA,MACRO I,TOCANTINS,172344,51416,36253,14878,41.0,51345,2642,17.8,2,0.0,4584,30.8,8517,57.2,8456,65.2,4506,34.8,10086,77.8,1396,10.8,12,0.1,1466,11.3,2,0.0,nov/2023 a abr/2026
NORTE,PA,150013,ABEL FIGUEIREDO,MACRO IV,CARAJÁS,6275,2583,2436,297,12.2,1063,40,13.5,0,0.0,3,1.0,170,57.2,195,78.6,53,21.4,187,75.4,25,10.1,5,2.0,31,12.5,0,0.0,nov/2023 a abr/2026
NORTE,PA,150020,ACARA,MACRO II,METROPOLITANA II,63110,21771,8284,3577,43.2,11944,408,11.4,6,0.2,552,15.4,2102,58.8,1696,53.5,1475,46.5,2747,86.6,115,3.6,5,0.2,305,9.6,0,0.0,nov/2023 a abr/2026
NORTE,PA,150030,AFUA,MACRO I,MARAJÓ I,40473,11041,8386,1451,17.3,5924,212,14.6,0,0.0,248,17.1,1066,73.5,784,61.2,496,38.8,1158,90.5,80,6.2,5,0.4,37,2.9,0,0.0,nov/2023 a abr/2026
NORTE,PA,150034,AGUA AZUL DO NORTE,MACRO IV,ARAGUAIA,17596,6694,4873,283,5.8,913,27,9.5,0,0.0,4,1.4,152,53.7,165,64.0,93,36.0,202,78.3,30,11.6,2,0.8,24,9.3,0,0.0,nov/2023 a abr/2026
NORTE,PA,150040,ALENQUER,MACRO III,BAIXO AMAZONAS,75882,21957,6149,1426,23.2,5242,207,14.5,2,0.1,44,3.1,926,64.9,769,60.0,512,40.0,1102,86.0,103,8.0,2,0.2,74,5.8,0,0.0,nov/2023 a abr/2026
NORTE,PA,150050,ALMEIRIM,MACRO III,BAIXO AMAZONAS,36442,12665,8797,3300,37.5,12385,501,15.2,4,0.1,1267,38.4,2146,65.0,1885,64.7,1027,35.3,2722,93.5,108,3.7,17,0.6,65,2.2,0,0.0,nov/2023 a abr/2026
NORTE,PA,150060,ALTAMIRA,MACRO III,XINGU,138749,54274,15129,1512,10.0,5246,246,16.3,10,0.7,28,1.9,892,59.0,998,74.8,337,25.2,1030,77.2,156,11.7,34,2.5,106,7.9,9,0.7,nov/2023 a abr/2026
NORTE,PA,150070,ANAJAS,MACRO I,MARAJÓ II,30247,7665,7087,2607,36.8,10209,342,13.1,0,0.0,205,7.9,1886,72.3,1545,67.4,747,32.6,1954,85.3,259,11.3,7,0.3,72,3.1,0,0.0,nov/2023 a abr/2026
NORTE,PA,150080,ANANINDEUA,MACRO I,METROPOLITANA I,509227,187386,91613,15572,17.0,53457,1841,11.8,83,0.5,92,0.6,8526,54.8,10260,73.5,3704,26.5,10893,78.0,1760,12.6,53,0.4,1253,9.0,8,0.1,nov/2023 a abr/2026
