Região,UF,IBGE,Município,População*,Domicílios com a TRIA aplicada,Domicílios em risco de insegurança alimentar,% Domicílios em risco de insegurança alimentar,Pessoas em domicílios em risco de insegurança alimentar,Domicílios em risco de insegurança alimentar com pessoas com deficiência,% de domicílios em risco de insegurança alimentar com pessoas com deficiência,Domicílios em risco de insegurança alimentar com pessoas em situação de rua,% de domicílios em risco de insegurança alimentar com pessoas em situação de rua,Domicílios em risco de insegurança alimentar com pessoas de povo ou comunidade tradicional,% de domicílios em risco de insegurança alimentar com pessoas de povo ou comunidade tradicional,Domicílios em risco de insegurança alimentar com pessoas menores de 18 anos,% de domicílios em risco de insegurança alimentar com pessoas menores de 18 anos,Domicílios em risco de insegurança alimentar com RF respondente do sexo feminino,% de domicílios em risco de insegurança alimentar com RF respondente do sexo feminino,Domicílios em risco de insegurança alimentar com RF respondente do sexo masculino,% de domicílios em risco de insegurança alimentar com RF respondente do sexo masculino,Domicílios em risco de insegurança alimentar com RF respondente autodeclarado pardo,% de domicílios com RF respondente autodeclarado pardo,Domicílios em risco de insegurança alimentar com RF respondente autodeclarado branco,% de domicílios com RF respondente autodeclarado branco,Domicílios em risco de insegurança alimentar com RF respondente autodeclarado amarelo,% de domicílios com RF respondente autodeclarado amarelo,Domicílios em risco de insegurança alimentar com RF respondente autodeclarado preto,% de domicílios com RF respondente autodeclarado preto,Domicílios em risco de insegurança alimentar com RF respondente autodeclarado indígena,% de domicílios com RF respondente autodeclarado indígena,Competência
NORTE,AC,120001.0,ACRELANDIA,14712.0,3538.0,278.0,7.9,968.0,44.0,15.8,0.0,0.0,2.0,0.7,173.0,62.2,172.0,74.8,58.0,25.2,182.0,79.1,25.0,10.9,11.0,4.8,12.0,5.2,0.0,0.0,nov/2023 a abr/2026
NORTE,AC,120005.0,ASSIS BRASIL,8648.0,2528.0,293.0,11.6,1255.0,81.0,27.6,0.0,0.0,3.0,1.0,220.0,75.1,128.0,54.2,108.0,45.8,170.0,72.0,23.0,9.7,2.0,0.8,9.0,3.8,32.0,13.6,nov/2023 a abr/2026
NORTE,AC,120010.0,BRASILEIA,28028.0,7453.0,943.0,12.7,3332.0,90.0,9.5,0.0,0.0,116.0,12.3,575.0,61.0,522.0,65.7,273.0,34.3,612.0,77.0,137.0,17.2,13.0,1.6,19.0,2.4,15.0,1.9,nov/2023 a abr/2026
NORTE,AC,120013.0,BUJARI,13928.0,2721.0,400.0,14.7,1222.0,63.0,15.8,0.0,0.0,2.0,0.5,220.0,55.0,193.0,55.5,155.0,44.5,266.0,76.4,34.0,9.8,5.0,1.4,43.0,12.4,0.0,0.0,nov/2023 a abr/2026
NORTE,AC,120017.0,CAPIXABA,10981.0,3558.0,235.0,6.6,827.0,38.0,16.2,0.0,0.0,2.0,0.9,157.0,66.8,143.0,68.8,65.0,31.2,172.0,82.7,19.0,9.1,3.0,1.4,14.0,6.7,0.0,0.0,nov/2023 a abr/2026
NORTE,AC,120020.0,CRUZEIRO DO SUL,98916.0,20852.0,2773.0,13.3,11173.0,357.0,12.9,4.0,0.1,133.0,4.8,1970.0,71.0,1831.0,77.1,543.0,22.9,2073.0,87.3,190.0,8.0,19.0,0.8,91.0,3.8,1.0,0.0,nov/2023 a abr/2026
NORTE,AC,120025.0,EPITACIOLANDIA,19874.0,5765.0,404.0,7.0,1286.0,43.0,10.6,0.0,0.0,3.0,0.7,235.0,58.2,227.0,64.7,124.0,35.3,332.0,94.6,16.0,4.6,0.0,0.0,4.0,1.1,0.0,0.0,nov/2023 a abr/2026
NORTE,AC,120030.0,FEIJO,37764.0,5140.0,1017.0,19.8,3763.0,179.0,17.6,0.0,0.0,11.0,1.1,661.0,65.0,697.0,76.8,210.0,23.2,659.0,72.7,140.0,15.4,9.0,1.0,75.0,8.3,24.0,2.6,nov/2023 a abr/2026
NORTE,AC,120032.0,JORDAO,9884.0,876.0,280.0,32.0,1381.0,25.0,8.9,0.0,0.0,46.0,16.4,226.0,80.7,96.0,42.7,129.0,57.3,189.0,84.0,3.0,1.3,3.0,1.3,3.0,1.3,27.0,12.0,nov/2023 a abr/2026
NORTE,AC,120033.0,MANCIO LIMA,20479.0,3271.0,668.0,20.4,2481.0,101.0,15.1,0.0,0.0,6.0,0.9,430.0,64.4,348.0,59.1,241.0,40.9,509.0,86.4,41.0,7.0,17.0,2.9,14.0,2.4,8.0,1.4,nov/2023 a abr/2026
