Região,UF,IBGE,Município,População,Total domicílios*,Domicílios com a TRIA aplicada,Domicílios em risco de insegurança alimentar,% Domicílios em risco de insegurança alimentar,Pessoas em domicílios em risco de insegurança alimentar,Domicílios em risco de insegurança alimentar com pessoas com deficiência ,% de domicílios em risco de insegurança alimentar com pessoas com deficiência ,Domicílios em risco de insegurança alimentar com pessoas em situação de rua,% de domicílios em risco de insegurança alimentar com pessoas em situação de rua,Domicílios em risco de insegurança alimentar com pessoas de povo ou comunidade tradicional,% de domicílios em risco de insegurança alimentar com pessoas de povo ou comunidade tradicional,Domicílios em risco de insegurança alimentar com pessoas menores de 18 anos,% de domicílios em risco de insegurança alimentar com pessoas menores de 18 anos,Domicílios em risco de insegurança alimentar com RF respondente do sexo feminino,% de domicílios em risco de insegurança alimentar com RF respondente do sexo feminino,Domicílios em risco de insegurança alimentar com RF respondente do sexo masculino,% de domicílios em risco de insegurança alimentar com RF respondente do sexo masculino,Domicílios em risco de insegurança alimentar com RF respondente autodeclarado pardo,% de domicílios em risco de insegurança alimentar com RF respondente autodeclarado pardo,Domicílios em risco de insegurança alimentar com RF respondente autodeclarado branco,% de domicílios em risco de insegurança alimentar com RF respondente autodeclarado branco,Domicílios em risco de insegurança alimentar com RF respondente autodeclarado amarelo,% de domicílios em risco de insegurança alimentar com RF respondente autodeclarado amarelo,Domicílios em risco de insegurança alimentar com RF respondente autodeclarado preto,% de domicílios em risco de insegurança alimentar com RF respondente autodeclarado preto,Domicílios em risco de insegurança alimentar com RF respondente autodeclarado indígena,% de domicílios em risco de insegurança alimentar com RF respondente autodeclarado indígena,Competência,Micro Região,Macro Região
NORTE,PA,150010,ABAETETUBA,170999,51416,31640,13422,"42,4",46618,2378,"17,7",2,0,4053,"30,2",7805,"58,2",7551,"64,4",4167,"35,6",9178,"78,3",1246,"10,6",11,"0,1",1282,"10,9",2,0,nov/2023 a dez/2025,TOCANTINS,MACRO I
NORTE,PA,150013,ABEL FIGUEIREDO,6302,2583,2358,261,"11,1",956,32,"12,3",0,0,4,"1,5",157,"60,2",165,"77,8",47,"22,2",162,"76,4",21,"9,9",4,"1,9",25,"11,8",0,0,nov/2023 a dez/2025,CARAJÁS,MACRO IV
NORTE,PA,150020,ACARA,62701,21771,3015,1079,"35,8",3691,128,"11,9",7,"0,6",166,"15,4",655,"60,7",522,"57,4",388,"42,6",808,"88,8",36,4,0,0,66,"7,2",0,0,nov/2023 a dez/2025,METROPOLITANA II,MACRO II
NORTE,PA,150030,AFUA,40246,11041,7886,1361,"17,3",5533,203,"14,9",0,0,220,"16,2",998,"73,3",728,"60,3",480,"39,7",1092,"90,4",76,"6,3",5,"0,4",35,"2,9",0,0,nov/2023 a dez/2025,MARAJÓ I,MACRO I
NORTE,PA,150034,AGUA AZUL DO NORTE,17960,6694,4450,271,"6,1",896,26,"9,6",1,"0,4",6,"2,2",148,"54,6",154,"62,6",92,"37,4",197,"80,1",32,13,2,"0,8",15,"6,1",0,0,nov/2023 a dez/2025,ARAGUAIA,MACRO IV
NORTE,PA,150040,ALENQUER,74836,21957,4901,1279,"26,1",4675,182,"14,2",3,"0,2",27,"2,1",830,"64,9",700,"60,2",462,"39,8",1002,"86,2",92,"7,9",3,"0,3",65,"5,6",0,0,nov/2023 a dez/2025,BAIXO AMAZONAS,MACRO III
NORTE,PA,150050,ALMEIRIM,36334,12665,8098,2964,"36,6",11102,459,"15,5",4,"0,1",1094,"36,9",1916,"64,6",1742,65,938,35,2511,"93,7",95,"3,5",16,"0,6",58,"2,2",0,0,nov/2023 a dez/2025,BAIXO AMAZONAS,MACRO III
NORTE,PA,150060,ALTAMIRA,136982,54274,14059,1341,"9,5",4604,208,"15,5",8,"0,6",29,"2,2",785,"58,5",905,"76,9",272,"23,1",922,"78,3",131,"11,1",30,"2,5",85,"7,2",9,"0,8",nov/2023 a dez/2025,XINGU,MACRO III
NORTE,PA,150070,ANAJAS,30003,7665,6541,2455,"37,5",9587,335,"13,6",0,0,220,9,1756,"71,5",1422,"65,9",737,"34,1",1865,"86,4",223,"10,3",4,"0,2",67,"3,1",0,0,nov/2023 a dez/2025,MARAJÓ II,MACRO I
NORTE,PA,150080,ANANINDEUA,507838,187386,84200,14062,"16,7",48756,1689,12,55,"0,4",84,"0,6",7867,"55,9",9288,"73,8",3298,"26,2",9832,"78,1",1574,"12,5",46,"0,4",1125,"8,9",12,"0,1",nov/2023 a dez/2025,METROPOLITANA I,MACRO I
NORTE,PA,150085,ANAPU,34947,13000,6470,821,"12,7",2967,76,"9,3",0,0,15,"1,8",557,"67,8",498,"66,7",249,"33,3",532,"71,2",89,"11,9",8,"1,1",117,"15,7",1,"0,1",nov/2023 a dez/2025,XINGU,MACRO III
NORTE,PA,150090,AUGUSTO CORREA,47596,13983,9148,1767,"19,3",6447,216,"12,2",1,"0,1",294,"16,6",1124,"63,6",1189,"71,6",472,"28,4",1530,"92,1",50,3,46,"2,8",35,"2,1",0,0,nov/2023 a dez/2025,RIO CAETÉS,MACRO II
NORTE,PA,150095,AURORA DO PARA,24321,8261,7661,2422,"31,6",8622,294,"12,1",0,0,80,"3,3",1503,"62,1",1200,"56,9",908,"43,1",1813,86,152,"7,2",11,"0,5",132,"6,3",0,0,nov/2023 a dez/2025,METROPOLITANA III,MACRO II
NORTE,PA,150100,AVEIRO,19223,6499,3405,566,"16,6",1881,52,"9,2",0,0,358,"63,3",339,"59,9",232,"45,6",277,"54,4",398,"78,2",14,"2,8",7,"1,4",20,"3,9",70,"13,8",nov/2023 a dez/2025,TAPAJÓS,MACRO III
NORTE,PA,150110,BAGRE,34633,6489,3352,1266,"37,8",4590,123,"9,7",0,0,76,6,915,"72,3",879,"74,4",302,"25,6",1069,"90,5",69,"5,8",0,0,42,"3,6",1,"0,1",nov/2023 a dez/2025,MARAJÓ II,MACRO I
NORTE,PA,150120,BAIAO,55949,13603,6046,1119,"18,5",4135,157,14,1,"0,1",314,"28,1",728,"65,1",686,"72,8",256,"27,2",682,"72,4",96,"10,2",0,0,164,"17,4",0,0,nov/2023 a dez/2025,TOCANTINS,MACRO I
NORTE,PA,150125,BANNACH,4252,1894,1145,114,10,340,13,"11,4",0,0,1,"0,9",67,"58,8",66,"60,5",43,"39,5",85,78,10,"9,2",0,0,14,"12,8",0,0,nov/2023 a dez/2025,ARAGUAIA,MACRO IV
NORTE,PA,150130,BARCARENA,137331,48232,31987,8566,"26,8",30976,1200,14,6,"0,1",803,"9,4",5278,"61,6",5814,"78,5",1588,"21,4",6558,"88,6",479,"6,5",22,"0,3",343,"4,6",2,0,nov/2023 a dez/2025,TOCANTINS,MACRO I
NORTE,PA,150140,BELEM,1398531,528989,128159,31277,"24,4",95740,5150,"16,5",48,"0,2",515,"1,6",14906,"47,7",22048,"76,8",6641,"23,1",21736,"75,8",3433,12,244,"0,8",3262,"11,4",19,"0,1",nov/2023 a dez/2025,METROPOLITANA I,MACRO I
NORTE,PA,150145,BELTERRA,18954,7597,5978,1213,"20,3",4521,271,"22,3",0,0,396,"32,6",794,"65,5",552,"54,9",453,"45,1",897,"89,2",50,5,4,"0,4",47,"4,7",7,"0,7",nov/2023 a dez/2025,BAIXO AMAZONAS,MACRO III
NORTE,PA,150150,BENEVIDES,68191,26334,17000,2331,"13,7",7878,389,"16,7",2,"0,1",15,"0,6",1349,"57,9",1614,"78,8",435,"21,2",1737,"84,8",181,"8,8",6,"0,3",127,"6,2",0,0,nov/2023 a dez/2025,METROPOLITANA I,MACRO I
NORTE,PA,150157,BOM JESUS DO TOCANTINS,18958,5813,4442,809,"18,2",3022,89,11,0,0,18,"2,2",503,"62,2",539,"72,1",209,"27,9",674,"90,1",39,"5,2",3,"0,4",31,"4,1",1,"0,1",nov/2023 a dez/2025,CARAJÁS,MACRO IV
NORTE,PA,150160,BONITO,12998,5312,3833,873,"22,8",2685,131,15,0,0,31,"3,6",456,"52,2",394,"52,1",362,"47,9",641,"84,8",59,"7,8",1,"0,1",55,"7,3",0,0,nov/2023 a dez/2025,RIO CAETÉS,MACRO II
NORTE,PA,150170,BRAGANCA,131679,44053,34631,5658,"16,3",18606,718,"12,7",12,"0,2",2093,37,3257,"57,6",3592,"70,7",1491,"29,3",4784,"94,1",115,"2,3",107,"2,1",78,"1,5",0,0,nov/2023 a dez/2025,RIO CAETÉS,MACRO II
NORTE,PA,150172,BRASIL NOVO,26606,8945,2555,284,"11,1",876,39,"13,7",0,0,2,"0,7",176,62,145,"59,2",100,"40,8",192,"78,4",25,"10,2",5,2,23,"9,4",0,0,nov/2023 a dez/2025,XINGU,MACRO III
NORTE,PA,150175,BREJO GRANDE DO ARAGUAIA,6985,2963,2065,27,"1,3",96,6,"22,2",0,0,1,"3,7",16,"59,3",17,"70,8",7,"29,2",18,75,1,"4,2",3,"12,5",2,"8,3",0,0,nov/2023 a dez/2025,CARAJÁS,MACRO IV
NORTE,PA,150178,BREU BRANCO,47351,16756,9188,1495,"16,3",4729,166,"11,1",1,"0,1",116,"7,8",878,"58,7",1020,"76,6",312,"23,4",974,"73,1",165,"12,4",15,"1,1",177,"13,3",2,"0,1",nov/2023 a dez/2025,LAGO TUCURUÍ,MACRO IV
